STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Total crimes
MAHARASHTRA,PUNE RLY.,2011,0,0,0,4,0,0,4
MAHARASHTRA,PUNE RURAL,2011,87,48,16,122,26,172,471
MAHARASHTRA,RAIGAD,2011,7,5,2,42,15,42,113
MAHARASHTRA,RATNAGIRI,2011,30,10,1,35,18,49,143
MAHARASHTRA,SANGLI,2011,40,13,5,51,8,98,215
MAHARASHTRA,SATARA,2011,34,36,2,80,16,179,347
MAHARASHTRA,SINDHUDURG,2011,11,7,0,8,12,5,43
MAHARASHTRA,SOLAPUR COMMR.,2011,22,18,0,31,9,68,148
MAHARASHTRA,SOLAPUR RURAL,2011,53,32,6,94,32,175,392
MAHARASHTRA,THANE COMMR.,2011,79,70,8,161,38,342,698
MAHARASHTRA,THANE RURAL,2011,63,32,10,105,18,57,285
MAHARASHTRA,WARDHA,2011,34,23,3,88,45,62,255
MAHARASHTRA,WASHIM,2011,13,21,12,80,12,118,256
MAHARASHTRA,YAVATMAL,2011,44,46,8,118,37,198,451
MAHARASHTRA,TOTAL,2011,1701,1252,339,3794,1071,7136,15293
MANIPUR,BISHNUPUR,2011,2,11,0,11,0,3,27
MANIPUR,CHANDEL,2011,1,0,0,0,0,0,1
MANIPUR,CHURACHANDPUR,2011,0,3,0,0,0,1,4
MANIPUR,CID,2011,0,0,0,0,0,0,0
MANIPUR,IMPHAL EAST,2011,11,28,0,7,0,8,54
MANIPUR,IMPHAL WEST,2011,17,45,1,11,0,8,82
MANIPUR,SENAPATI,2011,0,1,0,0,0,0,1
MANIPUR,TAMENGLONG,2011,0,0,0,1,0,0,1
MANIPUR,THOUBAL,2011,21,28,0,8,0,19,76
MANIPUR,UKHRUL,2011,1,0,0,0,0,0,1
MANIPUR,TOTAL,2011,53,116,1,38,0,39,247
MEGHALAYA,GARO HILLS EAST,2011,3,0,0,0,0,0,3
MEGHALAYA,GARO HILLS SOUTH,2011,2,4,0,2,0,1,9
MEGHALAYA,GARO HILLS WEST,2011,8,9,1,22,1,8,49
MEGHALAYA,JAINTIA HILLS,2011,43,8,0,6,0,0,57
MEGHALAYA,KHASI HILLS EAST,2011,42,8,0,32,0,11,93
MEGHALAYA,KHASI HILLS WEST,2011,15,5,0,8,0,0,28
MEGHALAYA,RI-BHOI,2011,17,3,0,4,0,1,25
MEGHALAYA,TOTAL,2011,130,37,1,74,1,21,264
MIZORAM,AIZAWL,2011,35,0,0,43,0,9,87
MIZORAM,CHAMPHAI,2011,10,0,0,10,0,0,20
MIZORAM,KOLASIB,2011,7,0,0,3,1,0,11
MIZORAM,LAWNGTLAI,2011,2,0,0,0,0,0,2
MIZORAM,LUNGLEI,2011,13,0,0,3,0,0,16
MIZORAM,MAMIT,2011,4,0,0,4,0,0,8
MIZORAM,SAIHA,2011,2,0,0,5,0,0,7
MIZORAM,SERCHHIP,2011,4,0,0,4,0,0,8
MIZORAM,TOTAL,2011,77,0,0,72,1,9,159
NAGALAND,DIMAPUR,2011,9,1,0,7,0,1,18
NAGALAND,KIPHIRE,2011,0,0,0,0,0,0,0
NAGALAND,KOHIMA,2011,0,0,0,0,0,0,0
NAGALAND,LONGLENG,2011,1,0,0,0,0,0,1
NAGALAND,MOKOKCHUNG,2011,2,1,0,0,0,0,3
NAGALAND,MON,2011,2,0,0,0,0,0,2
NAGALAND,PEREN,2011,0,0,0,0,0,0,0
NAGALAND,PHEK,2011,3,0,0,2,0,0,5
NAGALAND,TUENSANG,2011,2,0,0,0,0,0,2
NAGALAND,WOKHA,2011,1,0,0,0,0,0,1
NAGALAND,ZUNHEBOTO,2011,3,1,0,0,0,0,4
NAGALAND,TOTAL,2011,23,3,0,9,0,1,36
ODISHA,ANGUL,2011,63,39,25,299,8,58,492
ODISHA,BALASORE,2011,75,97,45,217,19,279,732
ODISHA,BARAGARH,2011,21,11,16,91,18,99,256
ODISHA,BERHAMPUR,2011,13,15,9,154,12,86,289
ODISHA,BHADRAK,2011,26,51,24,93,4,138,336
ODISHA,BOLANGIR,2011,52,24,6,166,4,44,296
ODISHA,BOUDH,2011,14,16,0,56,5,15,106
ODISHA,CUTTACK,2011,34,40,24,26,5,133,262
ODISHA,DCP BBSR,2011,35,32,13,43,5,32,160
ODISHA,DCP CTC,2011,19,25,0,17,2,88,151
ODISHA,DEOGARH,2011,15,8,2,68,1,6,100
ODISHA,DHENKANAL,2011,17,29,22,185,11,24,288
ODISHA,GAJAPATI,2011,11,6,0,56,3,20,96
ODISHA,GANJAM,2011,50,39,32,358,15,0,494
ODISHA,JAGATSINGHPUR,2011,31,42,18,12,0,75,178
ODISHA,JAJPUR,2011,31,44,30,94,9,97,305
ODISHA,JHARSUGUDA,2011,27,12,7,45,4,17,112
ODISHA,KALAHANDI,2011,46,22,9,97,11,95,280
ODISHA,KANDHAMAL,2011,32,21,9,70,8,41,181
ODISHA,KENDRAPARA,2011,41,43,36,14,1,147,282
ODISHA,KEONJHAR,2011,75,44,22,134,11,110,396
ODISHA,KHURDA,2011,29,27,10,14,2,139,221
ODISHA,KORAPUT,2011,53,36,0,126,10,48,273
ODISHA,MALKANGIR,2011,8,10,6,46,7,19,96
ODISHA,MAYURBHANJ,2011,76,87,34,227,20,143,587
ODISHA,NAYAGARH,2011,25,26,16,4,1,89,161
ODISHA,NOWRANGPUR,2011,44,44,2,80,13,43,226
ODISHA,NUAPADA,2011,4,10,2,51,6,20,93
ODISHA,PURI,2011,21,27,27,16,1,98,190
ODISHA,RAYAGADA,2011,32,34,7,106,6,38,223
